監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.058,2014-12-29 03:30
三芝,SHANGI,0.063,2014-12-29 03:30
石崩山,SHIHBENGSHAN,0.066,2014-12-29 03:30
茂林,MAOLIN,0.050,2014-12-29 03:30
金山,CHINSHAN,0.050,2014-12-29 03:30
野柳,YEHLIU,0.056,2014-12-29 03:30
大鵬,TAPERNG,0.070,2014-12-29 03:30
陽明山,YANGMINSHAN,0.061,2014-12-29 03:30
大坪,TAPING,0.060,2014-12-29 03:30
萬里,WANLI,0.074,2014-12-29 03:30
台北,TAIPEI,0.055,2014-12-29 03:30
宜蘭,ILAN,0.061,2014-12-29 03:30
龍潭,LUNGTAN,0.051,2014-12-29 03:30
台中,TAICHUNG,0.067,2014-12-29 03:30
台東,TAITUNG,0.057,2014-12-29 03:30
高雄,KAOHSIUNG,0.059,2014-12-29 03:30
恆春,HENGCHUN,0.071,2014-12-29 03:30
龍泉,LUNGCHUAN,0.059,2014-12-29 03:30
大光,TAKUANG,0.048,2014-12-29 03:30
墾丁,KENTING,0.052,2014-12-29 03:30
後壁湖,HOUBIHU,0.057,2014-12-29 03:35
澳底,AODI,0.049,2014-12-29 03:35
貢寮,GONGLIAO,0.052,2014-12-29 03:35
阿里山,ALISHAN,0.130,2014-12-29 03:35
金門,KINMEN,0.082,2014-12-29 03:35
蘭嶼,LANYU,0.060,2014-12-26 05:20
台南,TAINAN,0.058,2014-12-29 03:35
龍門,LUNGMEN,0.051,2014-12-29 03:35
雙溪,SHUANGSI,0.062,2014-12-29 03:35
三港,SANGANG,0.063,2014-12-29 03:35
新竹,HSINCHU,0.050,2014-12-29 03:35
花蓮,HUALINE,0.052,2014-12-29 03:35
澎湖,PENGHU,0.052,2014-12-29 03:35
馬祖,MATZU,0.055,2014-12-29 03:35
滿州,MANJHOU,0.051,2014-12-29 03:35
板橋,BANCIAO,0.068,2014-12-29 03:35
屏東市,PINGTONG,0.045,2014-12-29 03:35
基隆,KEELUNG,0.052,2014-12-29 03:35
頭城,TOUCHENG,0.053,2014-12-29 03:35
竹北,JHUBEI,0.047,2014-12-29 03:35
苗栗,MIAOLI,0.047,2014-12-29 03:35
南投,NANTOU,0.047,2014-12-29 03:35
彰化,CHANGHUA,0.063,2014-12-29 03:35
雲林,YUNLIN,0.049,2014-12-29 03:35
嘉義,CHIAYI,0.047,2014-12-29 03:35
