監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.057,2014-12-31 07:05
三芝,SHANGI,0.066,2014-12-31 07:05
石崩山,SHIHBENGSHAN,0.066,2014-12-31 07:05
茂林,MAOLIN,0.049,2014-12-31 07:05
金山,CHINSHAN,0.049,2014-12-31 07:05
野柳,YEHLIU,0.051,2014-12-31 07:05
大鵬,TAPERNG,0.068,2014-12-31 07:05
陽明山,YANGMINSHAN,0.055,2014-12-31 07:05
大坪,TAPING,0.060,2014-12-31 07:05
萬里,WANLI,0.071,2014-12-31 07:05
台北,TAIPEI,0.057,2014-12-31 07:05
宜蘭,ILAN,0.063,2014-12-31 07:05
龍潭,LUNGTAN,0.050,2014-12-31 07:00
台中,TAICHUNG,0.071,2014-12-31 07:05
台東,TAITUNG,0.054,2014-12-31 07:05
高雄,KAOHSIUNG,0.061,2014-12-31 07:05
恆春,HENGCHUN,0.069,2014-12-31 07:05
龍泉,LUNGCHUAN,0.056,2014-12-31 07:05
大光,TAKUANG,0.050,2014-12-31 07:05
墾丁,KENTING,0.055,2014-12-31 07:05
後壁湖,HOUBIHU,0.055,2014-12-31 07:05
澳底,AODI,0.049,2014-12-31 07:05
貢寮,GONGLIAO,0.057,2014-12-31 07:05
阿里山,ALISHAN,0.125,2014-12-31 07:05
金門,KINMEN,0.084,2014-12-31 07:05
蘭嶼,LANYU,0.041,2014-12-31 07:05
台南,TAINAN,0.062,2014-12-31 07:05
龍門,LUNGMEN,0.049,2014-12-31 07:05
雙溪,SHUANGSI,0.065,2014-12-31 07:05
三港,SANGANG,0.065,2014-12-31 07:05
新竹,HSINCHU,0.048,2014-12-31 07:05
花蓮,HUALINE,0.056,2014-12-31 07:05
澎湖,PENGHU,0.050,2014-12-31 07:05
馬祖,MATZU,0.054,2014-12-31 07:05
滿州,MANJHOU,0.048,2014-12-31 07:05
板橋,BANCIAO,0.070,2014-12-31 07:05
屏東市,PINGTONG,0.049,2014-12-31 07:05
基隆,KEELUNG,0.051,2014-12-31 07:05
頭城,TOUCHENG,0.051,2014-12-31 07:05
竹北,JHUBEI,0.048,2014-12-31 07:05
苗栗,MIAOLI,0.048,2014-12-31 07:05
南投,NANTOU,0.048,2014-12-31 07:05
彰化,CHANGHUA,0.068,2014-12-31 07:05
雲林,YUNLIN,0.053,2014-12-31 07:05
嘉義,CHIAYI,0.050,2014-12-31 07:05
