監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.055,2014-12-31 10:20
三芝,SHANGI,0.062,2014-12-31 10:20
石崩山,SHIHBENGSHAN,0.067,2014-12-31 10:20
茂林,MAOLIN,0.049,2014-12-31 10:20
金山,CHINSHAN,0.048,2014-12-31 10:20
野柳,YEHLIU,0.054,2014-12-31 10:20
大鵬,TAPERNG,0.068,2014-12-31 10:20
陽明山,YANGMINSHAN,0.063,2014-12-31 10:20
大坪,TAPING,0.061,2014-12-31 10:20
萬里,WANLI,0.073,2014-12-31 10:20
台北,TAIPEI,0.054,2014-12-31 10:20
宜蘭,ILAN,0.063,2014-12-31 10:20
龍潭,LUNGTAN,0.050,2014-12-31 10:15
台中,TAICHUNG,0.070,2014-12-31 10:20
台東,TAITUNG,0.051,2014-12-31 10:20
高雄,KAOHSIUNG,0.066,2014-12-31 10:20
恆春,HENGCHUN,0.067,2014-12-31 10:20
龍泉,LUNGCHUAN,0.062,2014-12-31 10:20
大光,TAKUANG,0.053,2014-12-31 10:20
墾丁,KENTING,0.052,2014-12-31 10:20
後壁湖,HOUBIHU,0.056,2014-12-31 10:20
澳底,AODI,0.052,2014-12-31 10:20
貢寮,GONGLIAO,0.051,2014-12-31 10:20
阿里山,ALISHAN,0.096,2014-12-31 10:20
金門,KINMEN,0.084,2014-12-31 10:20
蘭嶼,LANYU,0.041,2014-12-31 10:20
台南,TAINAN,0.064,2014-12-31 10:20
龍門,LUNGMEN,0.050,2014-12-31 10:20
雙溪,SHUANGSI,0.067,2014-12-31 10:20
三港,SANGANG,0.061,2014-12-31 10:20
新竹,HSINCHU,0.053,2014-12-31 10:20
花蓮,HUALINE,0.055,2014-12-31 10:20
澎湖,PENGHU,0.051,2014-12-31 10:20
馬祖,MATZU,0.060,2014-12-31 10:20
滿州,MANJHOU,0.051,2014-12-31 10:20
板橋,BANCIAO,0.070,2014-12-31 10:20
屏東市,PINGTONG,0.049,2014-12-31 10:20
基隆,KEELUNG,0.053,2014-12-31 10:20
頭城,TOUCHENG,0.049,2014-12-31 10:20
竹北,JHUBEI,0.051,2014-12-31 10:20
苗栗,MIAOLI,0.047,2014-12-31 10:20
南投,NANTOU,0.053,2014-12-31 10:20
彰化,CHANGHUA,0.066,2014-12-31 10:20
雲林,YUNLIN,0.060,2014-12-31 10:20
嘉義,CHIAYI,0.046,2014-12-31 10:20
